CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
BIO213,E,Basic Concepts in Genetics,遺伝学概論,"4/W,4/F",H-260,Face to Face,"HAYAMA, Ryosuke",2,
BIO214,E,Biostatistics,生物統計学,"5/F,6/F",T-229,Face to Face,"AU YEUNG, Wan Kin",2,
BIO342,J,Plant Physiology,植物生理学,"1/M,1/W",H-258,Face to Face,"MIZOGUCHI, Tsuyoshi",2,
BIO351,J,Laboratory in Animal Development,動物発生学実習,"4/TH,(5/TH,6/TH,7/TH)",T-126,Face to Face,"HIROKI, Masato",2,
BIO354,J,Laboratory in Molecular Genetics,分子遺伝学実習,,SPRING RECESS,Face to Face,"KOSE, Hiroyuki",1,
BIO381,E,Advanced Seminar in Biology I,生物学特別演習 I,"5/W,6/W",T-249,Face to Face,"GOURAUD, Sabine Sandra Stephanie",2,
BIO381,E,Advanced Seminar in Biology I,生物学特別演習 I,"5/W,6/W",T-250,Face to Face,"AU YEUNG, Wan Kin",2,
BIO384,E,Advanced Studies in Biology I,生命科学特論 I,"6/SA,7/SA",T-112,Face to Face,"WANG, Mu-Yun",2,
BIO384,E,Advanced Studies in Biology I,生命科学特論 I,"6/SA,7/SA",T-113,Face to Face,"KOSE, Hiroyuki",2,
BIO384,E,Advanced Studies in Biology I,生命科学特論 I,"6/SA,7/SA",T-249,Face to Face,"MIZOGUCHI, Tsuyoshi",2,
BIO384,E,Advanced Studies in Biology I,生命科学特論 I,"6/SA,7/SA",T-250,Face to Face,"GOURAUD, Sabine Sandra Stephanie",2,
BIO384,E,Advanced Studies in Biology I,生命科学特論 I,"6/SA,7/SA",T-342,Face to Face,"HAYAMA, Ryosuke",2,
BIO384,E,Advanced Studies in Biology I,生命科学特論 I,"6/SA,7/SA",T-343,Face to Face,"AU YEUNG, Wan Kin",2,
BUS101,J,Accounting,会計学,"3/M,3/W,3/F",T-270,Face to Face,"YAMANE, Satoka",3,
BUS102,J,Introduction to Business Administration,経営学序説,"5/M,6/M,7/M",T-171,Face to Face,"KODAMA, Koichiro",3,
BUS201,J,Business Administration,経営学,"1/TU,2/TU,1/TH",T-328,Face to Face,"INABA, Yushi",3,
BUS205,E,International Marketing,国際マーケティング論,"5/TU,6/TU,7/TU",H-374,Face to Face,"KOO, Ja Seung",3,
BUS212,J,Managerial Accounting,管理会計論,"*5/W,*5/F",H-151,Face to Face,"YAMANE, Satoka",3,
BUS309,E,Readings in International Economy and International Management,国際経済・国際経営文献講読,"5/TU,6/TU",H-123,Face to Face,"ZHU, Xiji",2,
CHM102,E,Foundation of Chemistry Laboratory,基礎化学実験,"(4/F,5/F,6/F,7/F)",T-406,Face to Face,"TSUNODA, Makoto/KOBAYASHI, Yoshio/KUBO, Kenya",2,
CHM103,J,General Chemistry,基礎化学,"3/M,3/W",H-307,Face to Face,"CHUN, Wang Jae",2,
CHM232,J,Organic Chemistry Laboratory,有機化学実験,"(4/F,5/F,6/F,7/F)",T-316,Face to Face,"KOBAYASHI, Junji",2,
CHM241,J,Physical Chemistry I,物理化学 I,"2/M,2/W",H-307,Face to Face,"CHUN, Wang Jae",2,
CHM322,J,Inorganic Chemistry III,無機化学 III,"5/TU,6/TU",H-324,Face to Face,"KAWANO, Yasuro",2,
CHM331,J,Organic Chemistry II,有機化学 II,"2/F,3/F",T-342,Face to Face,"KOBAYASHI, Junji",2,
CHM381,E,Studies in Chemical Research I,化学特別研究 I,"6/SA,7/SA",H-103,Face to Face,"CHUN, Wang Jae",2,
CHM381,E,Studies in Chemical Research I,化学特別研究 I,"6/SA,7/SA",H-105,Face to Face,"TSUNODA, Makoto",2,
DPS103,J,Gender and Development,ジェンダーと開発,"3/M,3/W,3/F",H-308,Face to Face,"TAKAMATSU, Kana",3,
DPS202,J,International Cooperation for Development,国際開発協力論,"1/SA,2/SA,3/SA",H-155,Face to Face,"KOBAYASHI, Takaaki",3,
DPS204,J,Development Microeconomics,開発のミクロ経済学,"4/M,4/TH",H-103,Face to Face,"KONDO, Masanori",2,
ECO101,E,Principles of Macroeconomics,マクロ経済学原論,"3/TU,2/TH,3/TH",T-229,Face to Face,"MONTGOMERY, Heather A.",3,
ECO102,E,Principles of Microeconomics,ミクロ経済学原論,"*4/W,*4/F",H-305,Face to Face,"MARSZALEC, Daniel Janusz",3,
ECO103,J,Statistics for Business and Economics,経済と経営のための統計学,"5/W,6/W,7/W",I-106,Face to Face,"KANAZAWA, Yuichiro",3,
ECO211,J,Econometrics,計量経済学,"5/M,6/M,7/M",I-106,Face to Face,"INOUE, Tomoo",3,
ECO214,E,Introductory Mathematical Programming,数理プログラミング入門,"5/F,6/F,7/F",I-206,Face to Face,"SHENG, Dachen",3,
ECO231,J,Game Theory,ゲーム理論,"*4/M,*4/TH",H-124,Face to Face,"OGAWA, Akira",3,
ECO234,E,Monetary Theory and Policy,金融の理論と政策,"*4/M,*4/TH",H-107,Face to Face,"MONTGOMERY, Heather A.",3,
ECO257,J,Labor Economics,労働経済学,"5/M,6/M,7/M",H-223,Face to Face,"NAITO, Tomoe",3,
ECO333,J,Intermediate Microeconomics II,中級ミクロ経済学 II,"*5/M,*5/TH",H-124,Face to Face,"OGAWA, Akira",3,
ECO334,J,Macroeconomic Theory,マクロ経済理論,"*4/M,*4/TH",H-354,Face to Face,"KAIZOJI, Taisei",3,
ECO354,E,Environmental Economics,環境経済学,"*5/W,*5/F",H-305,Face to Face,"MARSZALEC, Daniel Janusz",3,
EDU101,J,Theories and Methods of ICT Application to Education,教育におけるICT活用の理論と方法,"5/F,6/F",H-205,Face to Face,"AOKI, Hiroyuki/NAKAYA, Kae",2,
EDU115,J,Principles of Education,教育原理,"3/M,3/W",H-223,Face to Face,"OKAWA, Hiroshi",2,
EDU118,J,Psychological Perspectives on Effective Teaching and Learning,効果的教育に向けた心理学的アプローチ,"*4/W,*4/F",H-224,Face to Face,"SHIMIZU, Yasuo",3,
EDU209,J,Educational Communication as the Foundation for Peace,平和を育む教育コミュニケーション,"2/TU,1/TH",H-353,Face to Face,"AOKI, Hiroyuki",2,
EDU212,J,Curriculum and Instruction,カリキュラム論,"5/W,6/W",H-223,Face to Face,"SATO, Chizu",2,
EDU221,E,Education in Developing Nations,発展途上国における教育,"5/M,5/TH",H-260,Face to Face,"DAWSON, Walter P.",2,
EDU222,J,Sociology of Education,教育社会学,"*4/M,*4/TH",H-323,Face to Face,"NISHIMURA, Mikiko",3,
EDU223,E,Learning Analytics I,ラーニング・アナリティクス I,"2/W,2/F",T-249,Face to Face,"HOWARD, Craig Dennis",2,
EDU225,J,Computational Thinking Education,コンピュテーション思考の教育,"*5/M,*5/TH",T-250,Face to Face,"AOKI, Hiroyuki",3,
EDU228,J,Extra-Curricular Activities and Teaching Methods for the Integrated Studies Period,特別活動・総合的な学習の時間の指導法,"1/TU,2/TU",H-151,Face to Face,"TAKAHASHI, Kazuya",2,
EDU315,E,Japanese Education in Comparative Perspective,比較の視点からみた日本の教育,"5/W,6/W,7/W",H-307,Face to Face,"TARUMI, Yuko",3,
ENV103,J,Introduction to Environmental Management,環境経営入門,"2/TH,3/TH",H-224,Face to Face,"MORI, Tetsuro",2,
GSS201,E,Gender and International Relations,ジェンダーと国際関係,"2/M,2/W,2/F",H-223,Face to Face,"TAKAMATSU, Kana",3,
GSS301,J,"Gender, Sexuality and Critical Theory",ジェンダー、セクシュアリティと批評理論,"5/TU,6/TU,7/TU",H-275,Face to Face,"KAWASAKA, Kazuyoshi",3,
HST102,J,History of Europe (Britain) I,西洋史（イギリス）I,"3/TU,2/TH,3/TH",H-125,Face to Face,"NASU, Kei",3,
HST104,E,History of Japan (Ancient and Medieval) I,日本史（古代・中世）I,"1/SA,2/SA,3/SA",H-152,Face to Face,"NAKAI, Maki",3,
HST211,J,Methods for Historical Research,歴史学研究方法,"*5/M,*5/TH",H-101,Face to Face,"TSUBAKIDA, Yukiko/NASU, Kei",3,
HST223,J,Society and Culture in Early Modern Japan,近世日本の社会と文化,"*4/M,*4/TH",H-101,Face to Face,"TSUBAKIDA, Yukiko",3,
HST233,J,History of South Asia (India),南アジア史（インド）,"5/F,6/F",H-357,Face to Face,"UNO, Ayako",2,
HST237,J,History of Korea,韓国史,"5/M,6/M",H-256,Face to Face,"ROKUTANDA, Yutaka",2,
HST245,J,Social History of Europe,ヨーロッパ社会史,"5/M,6/M,7/M",H-304,Face to Face,"SUZUKI, Yoshikazu",3,
HST251,J,History of Latin America,ラテンアメリカ史,"5/TH,6/TH",H-202,Face to Face,"FUSHIMI, Takeshi",2,
HST323,J,Advanced Studies in Modern Japanese History,近現代日本史特別研究,"5/TH,6/TH,7/TH",H-155,Face to Face,"GODO, Natsuko",3,
IRL102,E,Introduction to International Relations,国際関係学概論,"3/TU,2/TH,3/TH",H-205,Face to Face,"MORI, Katsuhiko",3,
IRL214,E,International Political Economy,国際政治経済学,"1/TH,2/TH",H-308,Face to Face,"MIURA, Hideyuki",2,
IRL215,E,"Ethnicity, Identity and Nationalism",ナショナリズム研究,"4/M,4/TH",H-275,Face to Face,"SHANI, Giorgiandrea",2,
IRL233,E,Politics and International Relations in Africa,アフリカの政治と国際関係,"5/M,5/TH",H-205,Face to Face,"SALTON, Herman",2,
IRL234,E,Politics and International Relations in China,中国の政治と国際関係,"1/TU,2/TU",,Face to Face,"NAGY, Stephen R.",2,
IRL237,J,Politics and International Relations in Latin America,ラテンアメリカの政治と国際関係,"5/M,6/M",H-308,Face to Face,"OHGUSHI, Kazuo",2,
ISC103,E,Foundation of Computers,コンピュータ基礎,"*4/M,*4/TH",I-106,Face to Face,"TANAKA, Hiroki",3,
ISC222,E,Computer Languages,コンピュータ言語,"5/F,(6/F,7/F)",I-106,Face to Face,"TANAKA, Hiroki",2,
ISC224,J,Operating Systems,オペレーティングシステム,"1/TU,2/TU",I-212,Face to Face,"KABURAGI, Takashi",2,
ISC314,J,Numerical Methods in Science,数値解析入門,"5/M,6/M",I-212,Face to Face,"KABURAGI, Takashi",2,
ISC351,J,Computer Games,コンピュータゲーム,"5/TH,(6/TH)",I-212,Face to Face,"OHTA, Keiji",2,
JPS101,E,Introduction to Japan Studies,日本研究概論,"*4/W,*4/F",H-323,Face to Face,"SONOYAMA, Senri",3,
LED102,E,Principles of Language Learning and Teaching,言語教授法原論,"5/M,6/M,7/M",H-151,Face to Face,"SUGA, Kiyotaka",3,
LED215,E,Pronunciation for Language Teaching,教授用音声学と音韻論,"*5/M,*5/TH",H-107,Face to Face,"QUAY, Suzanne",3,
LED231,J,English Linguistics for Language Teaching,言語教育のための英語学,"2/M,2/W,2/F",H-275,Face to Face,"SHIROZA, Saran",3,
LED235,J,Teaching Methods in English (Eigo-ka) III,英語科教育法III,"*5/W,*5/F",H-260,Face to Face,"FUJII, Akiko",3,
LED236,J,Topics in English Grammar for Language Education,言語教育のための英語文法 I,"1/M,1/W,1/F",H-275,Face to Face,"SHIROZA, Saran",3,
LED251,J,History of the Japanese Language I,日本語史 I,"5/TU,6/TU,7/TU",H-105,Face to Face,"HIRAHARA, Maki",3,
LED252,J,Japanese Linguistics for Language Teaching,言語教育のための日本語学,"2/M,2/W,2/F",H-308,Face to Face,"CHUN, Sunyoung",3,
LED271,J,Japanese Calligraphy,書道,"1/SA,2/SA,3/SA",H-259,Face to Face,"UCHIYAMA, Yumi",2,
LED353,J,Overseas Teaching Practicum in Japanese,海外日本語教育実習,4/M,H-106A ; SUMMER RECESS,Face to Face,"HANDA, Atsuko/CHUN, Sunyoung",3,
LED361,J,The Teaching of Japanese as a Foreign Language III,外国語としての日本語教授法III,"1/M,1/W,1/F",H-102,Face to Face,"HANDA, Atsuko",3,
LAW103,J,Japanese Constitutional Law,日本国憲法,"3/TU,2/TH,3/TH",H-306,Face to Face,"MATSUDA, Hiromichi",3,
LAW203,J,Civil Law I,民法 I,"5/M,6/M",H-275,Face to Face,"KAMIGOCHI, Chikako",2,
LAW206,J,Constitutional Law,憲法,"1/TU,2/TU,1/TH",T-342,Face to Face,"MATSUDA, Hiromichi",3,
LAW217,J,Criminal Law I,刑法 I,"5/F,6/F",H-223,Face to Face,"TOMODA, Hiroyuki",2,
LAW225,E,International Environmental Law,国際環境法,"1/TU,2/TU,3/TU",T-250,Face to Face,"AYCOCK, Brian",3,
LAW226,E,International Refugee Law,国際難民法,"*5/W,*5/F",T-113,Face to Face,"HASHIMOTO, Naoko",3,
LAW228,J,Legal Philosophy,法哲学,"5/TU,6/TU,7/TU",H-173,Face to Face,"MIURA, Motoki",3,
LAW306,J,International Human Rights Law,国際人権法,"1/M,1/W,1/F",H-176,Face to Face,"ARAKAKI, Osamu",3,
LAW384,E,Advanced Studies in Legal Science IV,法学特別研究 IV,"2/M,2/W,2/F",H-353,Face to Face,"HASHIMOTO, Naoko",3,
LNG102,E,Introduction to Linguistics II,言語学入門 II,"3/TU,2/TH,3/TH",H-153,Face to Face,"LEE, Seunghun",3,
LNG222,J,Syntax,統語論,"*4/M,*4/TH",H-351,Face to Face,"ONO, Hajime",3,
LNG223,J,Experimental Linguistics,実験言語学,"1/TU,2/TU",H-274,Face to Face,"ONO, Hajime",2,
LNG391,E,Topics in Linguistics II,言語学特別研究 II,"*5/W,*5/F",H-104B,Face to Face,"LEE, Seunghun",3,
LNG392,J,Advanced Studies in Linguistics I,言語学上級セミナー I,"5/M,6/M",H-354,Face to Face,"KUBOZONO, Haruo",2,
LIT102,J,Greek Language I,ギリシア語 I,"2/M,2/W,2/F",H-305,Face to Face,"SANO, Yoshinori",3,
LIT104,E,History of American Literature I,アメリカ文学史 I,"3/TU,2/TH,3/TH",H-152,Face to Face,"RAVENSCROFT, Claire",3,
LIT115,J,Latin Language I,ラテン語 I,"5/TU,6/TU",H-223,Face to Face,"TOMOI, Taro",2,
LIT214,J,Classical Literature IV,西洋古典文学 IV,"5/TH,6/TH",H-152,Face to Face,"TAKI, Akitsugu",2,
LIT216,J,Readings in Greek II,ギリシア語講読 II,"4/M,4/TH",H-355,Face to Face,"SANO, Yoshinori",2,
LIT223,E,Contemporary English Literature II,現代英文学 II,"*5/W,*5/F",H-104A,Face to Face,"SIMONS, Christopher E. J.",3,
LIT225,J,Renaissance English Literature,ルネサンス英文学,"5/F,6/F",H-124,Face to Face,"MATSUDA, Takami",2,
LIT241,J,French Poetry I,フランス詩Ｉ,"5/TU,6/TU,7/TU",H-373,Face to Face,"HAMANAGA, Kazuki",3,
LIT261,J,Classical Japanese Literature I,古代日本文学 I,"1/TU,2/TU,1/TH",H-223,Face to Face,"SONOYAMA, Senri",3,
LIT263,J,Medieval Japanese Literature,中世日本文学,"5/F,6/F,7/F",H-102,Face to Face,"WATANABE, Mariko",3,
LIT265,J,Modern Japanese Literature I,近・現代日本文学 I,"2/M,2/W,2/F",H-102,Face to Face,"YASUHARA, Makoto",3,
LIT272,J,World Literature II,世界の文学 II,"5/M,6/M,7/M",H-306,Face to Face,"MYOJO, Kiyoko",3,
LIT374,E,Advanced Studies in Queer Theory,クイア理論における先進的研究,"1/TU,2/TU,1/TH",T-343,Face to Face,"AMMOUR-MAYEUR, Olivier",3,
MTH102,J,Introduction to Mathematics,数学入門,"2/TH,3/TH<6/M,7/M or 6/W,7/W>",H-303,Face to Face,"MATSUMURA, Tomoo",3,
MTH211,J,Calculus II,微分積分学Ⅱ,"5/M,(6/M,7/M)",H-301,Face to Face,"YAMAZAKI, Mitsuru",2,
MTH211,E,Calculus II,微分積分学Ⅱ,"5/W,(5/F,6/F)",H-259,Face to Face,"HITZER, Eckhard",2,
MTH232,J,Basic Concepts in Mathematics I (Sets and Algebraic Structures),数学通論 I（集合と代数系）,"5/W,(6/W,7/W)",H-301,Face to Face,"SHIMIZU, Yuji",2,
MTH233,E,Linear Algebra II,線形代数学 II,"5/TH,(6/TH,7/TH)",H-301,Face to Face,"TSUCHIYA, Akiyoshi",2,
MTH311,J,Analysis I,解析学 I,"5/TU,(6/TU,7/TU)",H-301,Face to Face,"NAKAISHI, Kentaro",2,
MTH331,E,Algebra I,代数学 I,"5/M,(6/M,7/M)",H-302,Face to Face,"OKAMURA, Fumiya/MATSUMURA, Tomoo",2,
MTH351,E,Geometry I,幾何学 I,"5/W,(6/W,7/W)",H-302,Face to Face,"MATSUMURA, Tomoo/OKAMOTO, Yukihiro",2,
MTH382,J,Advanced Seminar in Mathematics I,数学特別演習 I,"1/SA,2/SA",T-112,Face to Face,"YAMAZAKI, Mitsuru",2,
MTH382,E,Advanced Seminar in Mathematics I,数学特別演習 I,"6/SA,7/SA",H-107,Face to Face,"MATSUMURA, Tomoo",2,
MTH382,E,Advanced Seminar in Mathematics I,数学特別演習 I,"6/SA,7/SA",H-108,Face to Face,"DOU, Xiaoling",2,
MTH385,E,Senior Seminar in Mathematics I,数学四年次セミナー I,"2/SA,3/SA",T-113,Face to Face,"MATSUMURA, Tomoo",2,
MTH385,E,Senior Seminar in Mathematics I,数学四年次セミナー I,"2/SA,3/SA",T-249,Face to Face,"DOU, Xiaoling",2,
MCC105,J,Theories of Human Communication,ヒューマン・コミュニケーション原論,"3/M,3/W,3/F",T-229,Face to Face,"AONUMA, Satoru",3,
MCC108,E,Introduction to Translation,翻訳入門,"*4/W,*4/F",T-171,Face to Face,"GARZA, James Michael",3,
MCC235,E,Media Interpreting,メディア通訳,"*4/M,*4/TH",I-103,Face to Face,"TAMURA, Tomoko",3,
MCC236,E,Translation at Work,創造する翻訳,"1/SA,2/SA,3/SA",H-157,Face to Face,"HE, Beibei",3,
MCC238,E,Translation in Society,社会と翻訳,"2/M,2/W,2/F",T-229,Face to Face,"GARZA, James Michael",3,
MCC253,J,Cultural Studies II,カルチュラル・スタディーズII,"5/TU,6/TU,7/TU",H-323,Face to Face,"TAKAHARA, Taichi",3,
MCC256,J,Introduction to Media Studies,メディア研究入門,"*5/W,*5/F",T-171,Face to Face,"FUJITANI, Takeshi",3,
MCC257,E,Media and Multicultural Society,メディアと多文化社会,"1/TU,2/TU",T-229,Face to Face,"TSE, Yu-Kei",2,
MCC273,E,Intercultural Communication,異文化コミュニケーション,"*5/M,*5/TH",H-305,Face to Face,"HONG, Seung Min",3,
MCC331,E,Advanced Interpreting Practice,実践通訳上級,"*5/M,*5/TH",I-103,Face to Face,"TAMURA, Tomoko",3,
MCC372,J,Humanistic Approaches to Communication,コミュニケーション学の人文学的アプローチ,"*4/M,*4/TH",H-123,Face to Face,"AONUMA, Satoru",3,
MCC384,E,Advanced Studies in Media Studies,メディア論特別研究,"*4/M,*4/TH",T-229,Face to Face,"TSE, Yu-Kei",3,
MUS104,J,Music in the European Tradition I,西洋の音楽 I,"2/TH,3/TH",H-401,Face to Face,"TAGAWA, Mayu",2,
MUS105,J,Basic Theory of Music I,基礎音楽理論 I,"5/M,6/M",H-401,Face to Face,"TAMURA, Harumi",2,
MUS212,E,Music of Modern Japan,近現代日本の音楽,"*4/M,*4/TH",H-401,Face to Face,"GILLAN, Matthew A.",3,
MUS213,J,Contemporary Media and Music,現代メディアと音楽,"5/W,6/W",H-125,Face to Face,"CHOKI, Seiji",2,
MUS214,J,Studies in Music Performance I,音楽演奏研究 I,"5/W,6/W",H-401,Face to Face,"HATANO, Mutsumi",2,
MUS381,E,Music Fieldwork Theory and Practice,音楽フィールドワーク：理論と実践,"*5/M,*5/TH",H-375,Face to Face,"GILLAN, Matthew A.",3,
PCS201,E,Peace and Human Rights,平和と人権,"5/M,6/M",H-173,Face to Face,"AKIYAMA, Hajime",2,
PHR106,E,Introduction to Philosophy,哲学概論,"3/TU,2/TH,3/TH",H-274,Face to Face,"ALBERG, Jeremiah L.",3,
PHR107,J,Introduction to Religious Studies,宗教学概論,"2/M,2/W,2/F",H-173,Face to Face,"NAMIKI, Eiko",3,
PHR115,J,Logic,論理学,"5/TH,6/TH",H-173,Face to Face,"YOTSU, Masahide",2,
PHR223,E,History of Ancient and Medieval Philosophy,古代・中世哲学史,"1/M,1/W,1/F",H-305,Face to Face,"SANO, Yoshinori",3,
PHR226,J,Old Testament Hebrew,旧約ヘブライ語,"*5/M,*5/TH",T-249,Face to Face,"RO, Johannes Unsok",3,
PHR232,J,Survey of the New Testament,新約聖書学概観,"*5/W,*5/F",T-112,Face to Face,"YAKIYAMA, Mariko",3,
PHR235,E,History of Islam,イスラム教史,"*5/W,*5/F",,Face to Face,"ESKILDSEN, Stephen Edward",3,
PHR238,J,Interpretations and Ethics in the New Testament,新約聖書の解釈と倫理,"1/TU,2/TU,1/TH",H-205,Face to Face,"YAKIYAMA, Mariko",3,
PHR245,E,Christian Theology,キリスト教神学,"2/M,2/W,2/F",T-250,Face to Face,"MCGLOTHLIN, Thomas Dwight",3,
PHR384,J,Seminar in Contemporary Philosophy,現代哲学史研究,"2/M,2/W,2/F",H-274,Face to Face,"TAMURA, Miki",3,
PHR385,E,Seminar in Systematic Theology,組織神学研究,"*4/M,*4/TH",H-104A,Face to Face,"MCGLOTHLIN, Thomas Dwight",3,
PHY105,J,Foundation of Physics Laboratory,基礎物理学実験,"5/TH,(6/TH,7/TH)",T-166,Face to Face,"OKANO, Ken/KAKINUMA, Toru",2,
PHY106,J,Hot Topics in Physics,最先端の物理学,"3/W,3/F",H-258,Face to Face,"HITZER, Eckhard/YAMAZAKI, Rekishu/SHINDO, Tetsuo/OKANO, Ken/ISHIGAKI, Miho",2,
PHY107,J,Introduction to Crafting,モノづくり入門,"5/F,(6/F,7/F)",T-110,Face to Face,"YAMAZAKI, Rekishu/KABURAGI, Takashi/OHTA, Keiji/KAMATA, Masahiro",2,
PHY201,E,Mathematics for Natural Scientists,自然科学のための数学,"1/TU,2/TU",H-302,Face to Face,"HITZER, Eckhard",2,
PHY211,J,Laboratory in Optics,光学実験,"5/M,(6/M,7/M)",T-166,Face to Face,"KAMATA, Masahiro",2,
PHY221,J,Electricity and Magnetism,電磁気学,"1/TU,2/TU,(2/TH,3/TH)",T-249,Face to Face,"YOKOJIMA, Satoshi/SHINDO, Tetsuo",3,
PHY231,J,Modern Physics,現代物理学,"2/TH,3/TH",T-113,Face to Face,"TEZUKA, Ayako",2,
PHY381,J,Analytical Mechanics and Relativity,解析力学と相対性理論,"5/F,6/F",T-249,Face to Face,"KOTANI, Taro",2,
PHY385,J,Special Studies in Physics A,物理学特論 A,"6/SA,7/SA",H-123,Face to Face,"OKANO, Ken",2,
PHY385,J,Special Studies in Physics A,物理学特論 A,"6/SA,7/SA",H-124,Face to Face,"SHINDO, Tetsuo",2,
POL101,E,Introduction to Political Methodology,政治学方法論入門,"3/TU,2/TH,3/TH",H-155,Face to Face,"COLLET, Christian",3,
POL103,J,Introduction to Political Science,政治学概論,"*4/M,*4/TH",H-223,Face to Face,"KOO, Yoojin",3,
POL211,J,History of Western Political Thought I,西欧政治思想史 I,"5/TU,6/TU",H-205,Face to Face,"KONDO, Kazutaka",2,
POL216,J,History of Japanese Political Thought,日本政治思想史,"5/M,6/M",H-258,Face to Face,"OKUBO, Takeharu",2,
POL236,E,Public Opinion,世論研究,"1/TU,2/TU,1/TH",H-260,Face to Face,"COLLET, Christian",3,
POL331,J,Global Justice,グローバル社会正義論,"5/W,6/W",H-274,Face to Face,"OSHIMURA, Takashi",2,
POL383,J,Advanced Studies in Political Science III,政治学特別研究 III,"*5/W,*5/F",T-343,Face to Face,"TAKAMATSU, Kana",3,
PSY101,J,Educational Psychology,教育心理学,"5/TH,6/TH",T-229,Face to Face,"HAGIWARA, Chiaki",2,
PSY103,J,Introduction to Contemporary Psychology,現代心理学入門,"3/M,3/W,3/F",T-171,Face to Face,"NAOI, Nozomi/NISHIMURA, Kaoru",3,
PSY221,J,Experimental Research Method in Psychology,心理学実験,"*4/M,*4/TH",I-212,Face to Face,"NAOI, Nozomi",3,
PSY261,E,Psychology of Cultural and Human Diversity,文化と心理学,"5/M,6/M,7/M",T-229,Face to Face,"KAVANAGH, Christopher Michael",3,
PSY262,J,Social Psychology,社会心理学,"2/M,2/W,2/F",,,"MIYAKAWA, Erika",3,
PSY271,J,Clinical Psychology,臨床心理学,"1/TU,2/TU,1/TH",H-323,Face to Face,"NISHIMURA, Kaoru",3,
PSY273,E,Mental Health,精神保健,"2/M,2/W,2/F",T-270,Face to Face,"CHAN, Christian",3,
PSY321,E,Multivariate Statistics in Psychology,多変量解析,"5/W,6/W",H-123,Face to Face,"CHAN, Christian",2,
PSY342,E,Studies in Psychology of Language,言語心理学研究,"1/TU,2/TU",H-305,Face to Face,"SUDO, Mioko",2,
PPL101,E,Introduction to Policy Analysis,政策分析入門,"3/TU,2/TH,3/TH",H-157,Face to Face,"PORTEUX, J. Nathaniel",3,
PPL203,E,Comparative Political Institutions,比較政治制度論,"1/TU,2/TU,1/TH",H-102,Face to Face,"PORTEUX, J. Nathaniel",3,
PPL206,E,Regionalism in East Asia,東アジアの地域主義,"3/TU,2/TH,3/TH",,Face to Face,"NAGY, Stephen R.",3,
SOC102,E,Principles of Sociology,社会学原論,"3/TU,2/TH,3/TH",H-151,Face to Face,"KIM, Allen",3,
SOC102,J,Principles of Sociology,社会学原論,"5/TH,6/TH,7/TH",T-171,Face to Face,"NAKANO, Yuichi",3,
SOC103,J,Approaches to Sociological Research,社会学的研究へのアプローチ,"3/TU,2/TH,3/TH",H-102,Face to Face,"NA, Ildeung",3,
SOC205,E,Introduction to Japanese Society,日本社会入門,"*4/M,*4/TH",H-274,Face to Face,"MOROI, Yuichi",3,
SOC211,E,Sociology of the Family,家族社会学,"1/TU,2/TU,1/TH",H-173,Face to Face,"KIM, Allen",3,
SOC211,J,Sociology of the Family,家族社会学,"5/W,6/W,7/W",H-205,Face to Face,"KUBOTA, Hiroyuki",3,
SOC212,J,Urban Sociology,都市社会学,"5/W,6/W,7/W",H-224,Face to Face,"NAKANO, Yuichi",3,
SOC302,J,Qualitative Analysis in Sociology I,質的社会学分析 I,"*4/M,*4/TH",H-105,Face to Face,"YAMAGUCHI, Tomiko",3,
SOC304,J,Quantitative Analysis in Sociology I,計量社会学分析 I,"*5/M,*5/TH",I-206,Face to Face,"NA, Ildeung",3,
SOC309,J,Sociology of Science and Technology,科学技術社会学,"*5/M,*5/TH",H-105,Face to Face,"YAMAGUCHI, Tomiko",3,
ISC221,J,Algorithms and Data Structures,アルゴリズムとデータ構造,"5/TU,(6/TU,7/TU)",I-206,Face to Face,"ANDO, Kenichiro",2,
HST331,J,Advanced Studies in Asian Social History,アジア社会史特別研究,"*5/W,*5/F",H-308,Face to Face,"TAKANO, Minoru",3,
HST265,J,Japan in Asia,アジアのなかの日本,"1/TU,2/TU",H-275,Face to Face,"TAKANO, Minoru",2,
POL215,J,Political Theory,政治理論,"5/W,6/W,7/W",H-276,Face to Face,"OBA, Dai",3,
PCS101,E,Peace Studies I,平和研究 I,"5/TH,6/TH,7/TH",H-151,Face to Face,"SASAKI, Moe",3,
PHR382,J,Seminar in Eastern Thought,東洋思想研究,"*5/W,*5/F",H-275,Face to Face,"ESKILDSEN, Stephen Edward",3,
QAMT000,,Master Thesis,修士論文,,,,STAFF,0,
QALL402,E,Field Research and Professional Learning,現場実習による専門学習,"(4/M,5/M)",T-113,Face to Face,"BROWN, Bernardo Enrique/WANG, Mu-Yun",2,
QALL407,E,Academic English (S),アカデミック・イングリッシュ(S),"3/M,3/W",H-252 ; (Enroll 10) Those who are selected by ELA Office and GSG can take this course.,Face to Face,"EDWARDS, Susan",2,
QALL410,E,Academic English for Research(S),研究のためのアカデミック・イングリッシュ(S),"3/M,3/W",H-253 ; (Enroll 10) Those who are selected by ELA Office and GSG can take this course.,Face to Face,"COUSINS, Emily Y.",2,
QALL411,E,Academic Writing (S),アカデミック・ライティング(S),"(5/W,6/W,7/W)","H-106A ; (Enroll 8) Those who are selected by GSG can take this course. Sign up in the prescribed way by 15:00,April 16,2026.",Face to Face,"FUKAO, Akiko",2,
