CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
GES001,E,S1: Economy and Economics,Ｓ１：経済と経済学,"3/TU,2/TH,3/TH",,Face to Face,"KOO, Ja Seung",3,
GES001,J,S1: Economy and Economics,Ｓ１：経済と経済学,"3/TU,2/TH,3/TH",T-328,Face to Face,"KAIZOJI, Taisei/INABA, Yushi",3,
GES008,E,S1: Religion and Global Politics,Ｓ１：宗教と国際政治,"3/TU,2/TH,3/TH",H-260,Face to Face,"SHANI, Giorgiandrea",3,
GES021,J,S1: Invitation to Constitutional Law,Ｓ１：憲法への誘い,"5/F,6/F,7/F",H-125,Face to Face,"AKIYAMA, Hajime",3,
GES026,E,S1: Society and Culture,Ｓ１：社会と文化,"3/TU,2/TH,3/TH",H-173,Face to Face,"BROWN, Bernardo Enrique",3,
GES035,J,S1: Invitation to the East Asian History,Ｓ１：東アジア史への招き,"1/TU,2/TU,1/TH",H-224,Face to Face,"KIKUCHI, Hideaki",3,
GES039,J,S2: Statistical Information Literacy,Ｓ２：統計情報リテラシー,"3/M,3/W,3/F",H-275,Face to Face,"KANEKO, Takuya",3,
GES051,E,S2: Media and Cultural Signs,Ｓ２：メディアと記号,"*4/W,*4/F",T-229,Face to Face,"HONG, Seung Min",3,
GES057,E,S2: Education Projects for Global and Social Change,Ｓ２：グローバル・社会変革のための教育プロジェクト,"*4/M,*4/TH",H-260,Face to Face,"DAWSON, Walter P.",3,
GES062,J,S2: Humanity and Peace,Ｓ２：人間と平和,"3/M,3/W,3/F",H-125,Face to Face,"ARAKAKI, Osamu",3,
GES095,E,S2: A History of the World in Thirty Objects,Ｓ２：「３０のモノ」から見る世界の歴史,"*4/M,*4/TH",H-102,Face to Face,"SALTON, Herman",3,
GES096,J,S2: Physical and Mental Wellbeing,Ｓ２：こころとからだの健康,"3/M,3/W,3/F",H-224,Face to Face,"SHIMIZU, Yasuo",3,
GEN001,J,N1: Life Science (A),Ｎ１：生命科学（Ａ）,"2/M,2/W,2/F",T-171,Face to Face,"HAYAMA, Ryosuke/WANG, Mu-Yun/KOSE, Hiroyuki/AU YEUNG, Wan Kin/MIZOGUCHI, Tsuyoshi",3,
GEN013,J,N1: The Chemical Basis of Nature,Ｎ１：自然の化学的基礎,"3/M,3/W,3/F",T-364,Face to Face,"KUBO, Kenya/TSUNODA, Makoto/KOBAYASHI, Yoshio",3,
GEN023,J,N1: Introduction to Computer Science,Ｎ１：情報科学概論,"3/TU,2/TH,3/TH",T-171,Face to Face,"OHTA, Keiji/TANAKA, Masayuki",3,
GEN024,J,N1: Mathematical Methods in Science,Ｎ１：数学の方法,"1/TU,2/TU,1/TH",H-301,Face to Face,"YAMAZAKI, Mitsuru",3,
GEN026,J,N2: Ideas of Data Science,Ｎ２：データサイエンスの考え方,"3/TU,2/TH,3/TH",I-106,Face to Face,"DOU, Xiaoling/KANAZAWA, Yuichiro",3,
GEN053,J,N2: Philosophy of Science,Ｎ２：科学哲学,"5/TU,6/TU,7/TU",H-125,Face to Face,"HIRAI, Masahito",3,
GEN054,J,N2: Environmental Studies,Ｎ２：環境研究,"3/M,3/W,3/F",T-328,Face to Face,"NUNOSHIBA, Tatsuo",3,
GEN055,J,N2: Sustainability in the context of Biodiversity and the Global Ecosystem,Ｎ２：グローバル・エコシステムと生物学的多様性の視点から見たサステイナビリティー,"5/W,6/W,7/W",H-374,Face to Face,"SASAKI, Takahiro",3,
GEL002,J,Liberal Arts Special Topic (A),リベラルアーツ特別講義 （Ａ）,"*4/M,*4/TH",H-173,Face to Face,"IKOMA, Natsumi/ISHIO, Yoshito/YAMAZAKI, Rekishu",3,
HPE001,E,Health Science,健康科学,5/F,,Face to Face,"OGAWA, Tadayuki",1,
HPE001,J,Health Science,健康科学,2/TU,,Face to Face,"HASEGAWA, Ken",1,
HPE001,E,Health Science,健康科学,6/F,,Face to Face,"OGAWA, Tadayuki",1,
HPE001,J,Health Science,健康科学,5/M,,Face to Face,"SATO, Kaori",1,
HPE001,J,Health Science,健康科学,3/TU,,Face to Face,"HASEGAWA, Ken",1,
HPE001,J,Health Science,健康科学,3/M,,Face to Face,"SATO, Kaori",1,
HPE001,J,Health Science,健康科学,4/M,,Face to Face,"SATO, Kaori",1,
HPE003,J,Physical Education,体育理論,4/F,,Face to Face,"HIRAKU, Shiho",1,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,5/M,,Face to Face,"HASEGAWA, Ken",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/M,,Face to Face,"HIGASHIYAMA, Masao",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/TH,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,4/W,,Face to Face,"GORAI, Asuka",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,4/W,,Face to Face,"SATO, Kaori",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,5/M,,Face to Face,"KASAI, Hiromi",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/F,,Face to Face,"HIGASHIYAMA, Masao",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,5/TU,,Face to Face,"HASEGAWA, Ken",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,5/TH,,Face to Face,"GORAI, Asuka",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,5/F,,Face to Face,"SATO, Kaori",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,3/TU,,Face to Face,"GORAI, Asuka",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,3/TH,,Face to Face,"GORAI, Asuka",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,4/M,,Face to Face,"KASAI, Hiromi",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,3/W,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,5/TU,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,4/TH,,Face to Face,"GORAI, Asuka",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/TU,,Face to Face,"GORAI, Asuka",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,3/F,,Face to Face,"HIGASHIYAMA, Masao",1/3,
